name; price; weight; description
Schleifband Standard blau - Korn 120;ab 24.90;;Allround - das Schleifband fuer den ES 2000. Fuer alle Gelegenheiten.
ES 2000 - elektrisches Skikantenschleifgeraet;358.00;3 kg je Stueck;Eigenhaendiges Ski- und Snowboard Schleifen wie die Profis. Spare Zeit und Geld mit dem Skikantenschleifgeraet ES 2000 von raze-cat.
CF-4 - Feilenwinkel;129.00;0,49 kg je Stueck;Die Weltneuheit der verstellbaren Feilenwinkel zum Skikanten Feilen aus dem Hause raze-cat.
Finnfeile fein;15.00;0,1 kg je Stueck;Finnfeile hartverchromt "fein" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
ES 2000 - Profiset;448.00;5 kg je Stueck;Skikanten schleifen mit dem elektrischen Skikantenschleifgeraet ES 2000 im Profiset von raze-cat.
Schleifband Standard rot - Korn 240;ab 24.90;;Medium - das Schleifband fuer den ES 2000. Fuer alle die etwas mehr wollen.
CF-4 - Profiset;148.00;0,72 kg je Set;CF-4 - die Weltneuheit der verstellbaren Feilenwinkel zum Skikantenfeilen - jetzt im Profiset!
Finnfeile fein Cutofino;16.00;0,1 kg je Stueck;Finnfeile hartverchromt "fein - cutofino" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
ES 2000 / ES 1000 - Reparaturservice;90.00;;Reparaturservice fuer die Skikantenschleifgeraete ES 2000 und ES 1000. Generalueberholung deiner Skikantenschleifmaschine.
Schleifband Keramik gruen - Korn 120;ab 29.50;;Power - das Schleifband fuer den ES 2000. Speziell fuer harte Skikanten.
CF-4 Pure - Profiset Worldcup;168.00;0,72 kg je Set;CF-4 pure - die Weltneuheit der verstellbaren Feilenwinkel zum Skikanten Feilen jetzt im Profiset! Limitierte Auflage!
Finnfeile mittel;15.00;0,1 kg je Stueck;Finnfeile hartverchromt "mittel" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
Ersatzteil: Antriebsrolle ES 1000 & ES 2000;12.00;0,05 kg je Stueck;Antriebsrolle als Ersatzteil fuer den elektrischen Skikantenschleifer ES 1000 & ES 2000 von raze-cat.
Schleifband professional grau - Korn 600;ab 20.50;;Synthetik Finish 600 - fuer das feine Tuning. Das Schleifband der Profis.
Feilenwinkel FG100 pro;59.00;0,3 kg je Stueck;Der Feilenwinkel FG100 pro - ein moderner Feilenwinkel fuer den professionellen Skiservice zum Selbermachen. In vier verschiedenen Winkelgroessen erhaeltlich.
Finnfeile grob;15.00;0,1 kg je Stueck;Finnfeile hartverchromt "grob" zum Schaerfen und Feilen der Ski- und Snowboardkanten! Snoli - Made in Austria!
Schleifband professional grau - Korn 1000;ab 22.50;;Synthetik polish 1000 - fuer das Polieren. Das Schleifband der Profis.
FG100 Profiset;78.00;0,38 kg je Set;Der FG100 im Profiset. Der sicherste und stabilste Feilenwinkel fuer den Skiservice zum Selbermachen jetzt im Set. In vier verschiedenen Winkelgroessen erhaeltlich.
Skifeile Worldcup fein;19.00;0,105 kg je Stueck;Die meistverwendete Ski Feile zum Skikanten schleifen im Weltcup! Icecut - Made in Switzerland!
Ersatzteil: Anlageblech ES 2000;15.00;0,02 kg je Stueck;Anlageblech als original Ersatzteil fuer den elektrischen Ski-Kantenschleifer ES 2000 von raze-cat.
Schrauben fuer Feilenwinkel;4.50;0,02 kg je Paar;Schrauben zur Befestigung der Feilen beim FG100. Koennen auch fuer den CF-4 verwendet werden.
Schleifband Symetrie Perfect - Track 400;ab 8.90;;Track 400 - Schleifband fuer den ES 2000. Symetrische Schleifquader - fuer eine laengere Haltbarkeit.
Skifeile Worldcup mittel;19.00;0,105 kg je Stueck;Die meistverwendete Feile zum Skikanten schleifen im Weltcup! Icecut - Made in Switzerland!
Ersatzteil: Fuehrungsrolle ES 1000;12.00;0,05 kg je Stueck;Fuehrungsrolle als original Ersatzteil fuer den elektrischen Skikantenschleifer ES 1000 von raze-cat.
Schleifbaender Probeset;17.90;;Probierset - fuer den ES 2000. Teste alle erhaeltlichen Schleifbaender.
Diamantfeile DMT schwarz Korn 220;39.00;0,06 kg je Stueck;Diamantfeile von DMT schwarz in Korn 220 grob - Made in USA
Ersatzteil: Fuehrungsrolle ES 2000;12.00;0,05 kg je Stueck;Fuehrungsrolle als original Ersatzteil fuer den elektrischen Skikantenschleifer ES 2000 von raze-cat.
